,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
160,Santa Fe and Surrounding areas Haunted Places Meetup,Santa Fe,US,0,1451704425000,16,,,paranormal,,0,,
161,Santa Fe Life After Death Meetup,Santa Fe,US,5,1451871040000,39,,,new age/spirituality,,0,,
162,Breast Wishes Fund Support Group,Santa Fe,US,0,1452030005000,4,,,health/wellbeing,,0,,
163,Santa Fe Centering Prayer/Meditation Meetup,Santa Fe,US,0,1452202510000,13,,,new age/spirituality,,0,,
164,Santa Fe Independent Filmmaking Meetup,Santa Fe,US,0,1452281564000,30,,,movies/film,,0,,
165,ARTFUL YOU!,Santa Fe,US,5,1452448067000,60,,,fine arts/culture,,0,,
166,Journey Mapping Mystery School,Santa Fe,US,0,1452615345000,13,,,new age/spirituality,,0,,
167,Design Corps of Santa Fe,Santa Fe,US,0,1452621228000,34,,,tech,,0,,
168,Northern New Mexico Tea Party Meetup,Santa Fe,US,0,1452828699000,4,,,movements/politics,,0,,
169,Santa Fe Dancing for Parkinson's/Movement Disorders Meetup,Santa Fe,US,0,1453057059000,4,,,dancing,,0,,
170,Discover New Mexico !,Santa Fe,US,5,1453226931000,150,,,outdoors/adventure,,0,,
171,Santa Fe Reiki Share and Energy Healing,Santa Fe,US,0,1453316538000,34,,,health/wellbeing,,0,,
172,Chris Griscom and The Light Institute,Lamy,US,0,1453328765000,29,,,new age/spirituality,,0,,
173,The Santa Fe Chapter of the Rush Limbaugh Dinner Club,Santa Fe,US,0,1453332429000,19,,,socializing,,0,,
174,Santa Fe Arts Professionals Meetup,Santa Fe,US,0,1453518456000,19,,,fine arts/culture,,0,,
175,Santa Fe Young Professionals,Santa Fe,US,0,1453749111000,43,,,socializing,,0,,
176,Santa Fe Eastern Spirituality Group,Santa Fe,US,0,1453923220000,22,,,new age/spirituality,,0,,
177,Santa Fe Honesty in Action,Santa Fe,US,0,1454012496000,3,,,health/wellbeing,,0,,
178,Santa Fe Over 50 Outdoors,Santa Fe,US,0,1454014262000,40,,,outdoors/adventure,,0,,
179,Santa Fe Sing and Play Acoustic Covers Casual Hang Out,Santa Fe,US,0,1454084419000,5,,,music,,0,,
180,The Artist 's Way Group w Mary Jo,Santa Fe,US,0,1454089633000,1,,,fine arts/culture,,0,,
181,#SFPHP Meetup,San Francisco,US,4.31,1034097740000,2609,,,tech,,0,,
182,San Franciso Game Development Meetup Group,San Francisco,US,4.39,1034097741000,3622,,,career/business,,0,,
183,San Francisco Spanish-Language MeetUp,San Francisco,US,4.46,1034097748000,4519,,,language/ethnic identity,,0,,
184,Alameda / Contra Costa Co. Rendez-vous français,Berkeley,US,4.65,1034097748000,855,,,language/ethnic identity,,0,,
185,Join Cofounders Meetup on Google+ hangout 2nd. Thu @ 7PM PST,San Francisco,US,4.07,1034097750000,839,,,tech,,0,,
186,中文俱樂部 Chinese Language Group in The San Francisco Bay Area,San Francisco,US,4.71,1034280794000,1740,,,language/ethnic identity,,0,,
187,SF & SV Entrepreneurs + VCs,San Francisco,US,3.97,1036177353000,3214,,,career/business,,0,,
188,The San Francisco Bay Area British and Irish Social Club,San Francisco,US,4.47,1037751568000,1685,,,language/ethnic identity,,0,,
189,SF German Stammtisch,San Francisco,US,4.63,1038550996000,2832,,,language/ethnic identity,,0,,
190,The San Francisco Italian Language Meetup Group,San Francisco,US,4.51,1041537562000,1490,,,language/ethnic identity,,0,,
191,LES AMI(E)S FRANCOPHONES DE SAN FRANCISCO,San Francisco,US,4.49,1042324556000,3206,,,language/ethnic identity,,0,,
192,San Francisco for Democracy Meetup Group,San Francisco,US,4.53,1042513984000,902,,,movements/politics,,0,,
193,"East Bay ""Democracy for America"" Meetup",Oakland,US,4.39,1045608717000,738,,,movements/politics,,0,,
194,The San Francisco English Bulldog Meetup Group,San Francisco,US,4.48,1045682815000,2028,,,pets/animals,,0,,
195,SF Travel Addicts,San Francisco,US,4.55,1048147539000,1848,,,socializing,,0,,
196,Bay Area Integral Salon! :),Palo Alto,US,4.55,1048812374000,77,,,new age/spirituality,,0,,
197,The San Francisco Yorkshire Terrier Meetup Group,San Francisco,US,4.73,1049407174000,834,,,pets/animals,,0,,
198,The San Francisco Shih Tzu Meetup Group,San Francisco,US,4.75,1049676248000,579,,,pets/animals,,0,,
199,The San Francisco Investor's Business Daily Meetup Group,San Francisco,US,4.49,1062018755000,1403,,,career/business,,0,,
200,The San Francisco Formula 1 Meetup Group,San Francisco,US,4.55,1066858789000,766,,,cars/motorcycles,,0,,
201,The Marin County Investor's Business Daily Meetup Group,Belvedere Tiburon,US,4.58,1066858789000,373,,,career/business,,0,,
202,The San Francisco Peninsula Dads Meetup Group,Palo Alto,US,4.86,1066858789000,232,,,parents/family,,0,,
203,East Bay Cohousing - Berkeley/Oakland/Emeryville/SF,Berkeley,US,4.6,1066858789000,3718,,,community/environment,,0,,
204,The San Francisco Ruby Meetup Group,San Francisco,US,4.6,1067365352000,6076,,,tech,,0,,
205,#SFMySQL Meetup,San Francisco,US,4.39,1079430319000,2321,,,tech,,0,,
206,The Contra Costa County Moms Meetup Group,Martinez,US,4.85,1081446112000,114,,,parents/family,,0,,
207,SFBA Karaoke Meetup! :),San Francisco,US,4.74,1090778095000,897,,,music,,0,,
208,SOCIAL SAN FRANCISCO,San Francisco,US,4.72,1097630589000,3261,,,socializing,,0,,
209,Silicon Valley MySQL Group,Palo Alto,US,4.43,1102659536000,781,,,tech,,0,,
210,"East Bay Repetitive Strain Injury Support Group, Berkeley,CA",Berkeley,US,4.77,1105213698000,187,,,career/business,,0,,
211,Bay Area Media Makers,San Francisco,US,3.61,1112627804000,366,,,career/business,,0,,
212,The Transformation Collective,San Francisco,US,4.77,1113108973000,461,,,cars/motorcycles,,0,,
213,Design Pros SF Bay Area • DPSFBA,San Francisco,US,4.67,1114366988000,608,,,photography,,0,,
214,"Reiki, Karuna Reiki & Meditation classes",Fremont,US,4.92,1120101341000,496,,,health/wellbeing,,0,,
215,Bay Area Beagles,Hayward,US,4.68,1126546408000,636,,,pets/animals,,0,,
